customer_id,name,age_range,marital_status,family_size,no_of_children,income_bracket,gender,mean_discount_used_by_cust,unique_items_bought_by_cust,mean_selling_price_paid_by_cust,mean_quantity_bought_by_cust,total_discount_used_by_cust,total_coupons_used_by_cust,total_price_paid_by_cust,total_quantity_bought_by_cust
62,Steven Boyer,36-45,Married,3,1,1,M,0.0,252,88.86,1.01,0.0,0,24614.26,280
63,Kathy Ramos,46-55,Single,1,0,2,F,-2.08,450,103.7,1.01,-2346.26,78,116973.33,1134
64,Aaron Miller,46-55,Married,2,0,6,M,-1.1,775,103.82,1.06,-1206.09,17,113679.4,1161
65,Daniel Allen,70+,Married,2,0,3,M,0.0,189,125.34,1.0,0.0,0,29454.17,235
66,Nicholas Parker,46-55,Single,1,0,6,M,-0.01,681,96.39,1.06,-12.47,1,102173.46,1119
67,Robert Kirk,36-45,Single,2,1,4,M,0.0,293,62.64,1.0,0.0,0,27747.96,443
68,Robin Allen,26-35,Single,1,0,2,F,-0.32,941,82.8,1.01,-511.49,16,133560.54,1624
69,Lindsey Johnson,46-55,Married,4,2,1,F,-0.38,335,97.62,1.08,-215.8,10,55839.46,620
70,Megan Hernandez,26-35,Married,2,0,3,F,0.0,129,81.54,1.0,0.0,0,12068.23,148
71,Garrett Cook,36-45,Married,5,3,4,M,-1.17,558,86.6,1.0,-1100.82,50,81229.51,942
72,Danielle Johnson,26-35,Single,3,2,1,F,-0.16,884,71.6,1.0,-229.76,15,99884.29,1395
73,Joseph Rodgers,36-45,Married,5,3,6,M,-0.1,439,104.17,1.02,-53.43,1,58127.59,571
74,Brooke Wilson,26-35,Married,2,0,2,F,0.0,530,97.29,1.0,0.0,0,77055.52,792
75,Amanda Powers,26-35,Single,1,0,4,F,-0.03,552,81.21,1.04,-26.71,1,63992.49,819
76,Elizabeth Dawson,36-45,Married,2,0,4,F,-0.94,351,104.66,1.02,-400.35,15,44689.77,436
77,Brandon Horton,56-70,Married,2,0,2,M,-0.23,136,104.38,1.19,-35.62,1,16387.1,187
78,Mrs. Christina Valenzuela,36-45,Married,4,2,8,F,-0.48,1366,109.87,1.08,-1260.63,49,290936.29,2869
79,Curtis Robles,26-35,Married,2,0,4,M,-0.05,488,96.9,1.02,-35.62,1,67734.62,715
80,Nicholas Collier,36-45,Married,2,0,8,M,-1.02,838,129.26,1.08,-1705.95,50,217157.69,1814
81,Douglas Carlson,36-45,Single,1,0,5,M,-1.57,99,101.86,1.0,-248.75,6,16094.07,158
82,Miranda Williams,70+,Single,2,1,4,F,-0.44,484,80.74,1.01,-331.25,15,61039.57,763
83,Dr. Gabriel Velez,46-55,Single,1,0,4,M,0.0,384,98.43,1.05,0.0,0,81205.81,865
84,David West,46-55,Single,1,0,8,M,-0.54,326,122.88,1.0,-213.36,1,48169.8,392
85,Mariah Murray,46-55,Married,3,1,3,F,-0.05,475,88.31,1.0,-32.65,2,53516.98,606
86,Jeremy Knight,56-70,Married,3,1,3,M,-0.05,409,102.9,1.0,-26.71,1,55360.92,538
87,Garrett Douglas,46-55,Single,2,1,4,M,-0.06,387,97.83,1.04,-35.62,1,62026.76,660
88,John Perry,36-45,Single,1,0,4,M,-1.62,960,111.3,1.12,-2517.17,73,172846.55,1733
89,Jacob Mcmillan,46-55,Single,1,0,3,M,-1.45,498,87.8,1.08,-970.34,49,58647.94,720
90,Kelly Manning,46-55,Married,2,0,5,F,-0.46,888,107.83,1.03,-542.31,10,126272.5,1203
91,Daniel Watson,36-45,Single,1,0,5,M,0.0,383,100.8,1.01,0.0,0,57052.5,569
92,Brian Cross,46-55,Married,2,0,1,M,-0.27,417,109.59,1.0,-146.04,8,59508.78,543
93,Alexandria Carpenter,56-70,Married,2,0,3,F,-0.21,750,110.3,1.01,-209.27,6,110076.58,1008
94,Kelsey Stuart,46-55,Single,1,0,5,F,-0.05,555,88.76,1.0,-44.52,1,75181.31,847
95,Jessica Gray,36-45,Single,2,1,4,F,-1.36,232,105.79,1.0,-356.19,12,27612.17,261
96,Brian Tran,46-55,Single,1,0,6,M,-0.41,398,111.24,1.0,-216.4,8,58400.26,525
97,Jessica Stewart,36-45,Single,1,0,6,F,-0.76,293,88.58,1.04,-375.94,10,43933.76,516
98,Carolyn Adams,46-55,Married,2,0,3,F,-0.04,332,89.86,1.0,-20.07,1,49781.54,554
99,Victoria Davis,26-35,Single,1,0,2,F,0.0,206,87.78,1.0,0.0,0,55828.0,636
100,Taylor Mays,56-70,Married,2,0,7,M,-0.95,1011,90.91,1.04,-1821.35,58,174272.27,1994
101,Leah Crawford,36-45,Single,2,1,4,F,0.0,370,117.04,1.0,0.0,0,55009.56,470
102,Sarah Foster,46-55,Single,1,0,5,F,-0.25,237,118.3,1.0,-65.3,2,31349.23,265
103,Brittany Reeves,46-55,Married,2,0,4,F,0.0,864,107.98,1.14,0.0,0,187337.79,1975
104,Allen Horton,46-55,Single,1,0,4,M,-1.37,186,90.21,1.05,-348.17,14,23003.33,268
105,Yvonne Hansen,36-45,Single,3,1,5,F,-0.25,296,113.68,1.01,-121.11,4,54794.34,486
106,Sean Guerra,26-35,Married,5,3,3,M,-0.26,869,77.22,1.06,-347.1,14,101621.48,1391
107,Kevin Newman,18-25,Married,2,0,2,M,-0.01,478,107.57,1.01,-8.9,1,64432.19,603
108,Ann Allen,46-55,Single,1,0,5,F,-11.4,154,192.99,1.0,-3043.71,86,51529.28,267
109,Danielle West,36-45,Married,2,0,8,F,0.0,178,90.92,1.02,0.0,0,19729.22,222
110,Jordan Morris,18-25,Married,3,1,6,F,-0.04,424,90.75,1.03,-35.62,1,79137.98,896
111,Emily Jones,26-35,Married,3,1,3,F,0.0,295,119.58,1.0,0.0,0,64213.63,537
112,Joseph Sellers,46-55,Married,2,0,4,M,-0.26,701,86.62,1.01,-272.49,12,90950.58,1065
113,Thomas Blankenship,56-70,Married,2,0,4,M,-0.93,309,92.4,1.13,-427.06,14,42505.39,520
114,James Bishop,26-35,Married,3,1,5,M,0.0,227,110.83,1.0,0.0,0,45219.34,408
115,Sean Thompson,36-45,Married,4,2,8,M,0.0,110,108.69,1.0,0.0,0,15651.35,144
116,Curtis Wilson,26-35,Married,2,0,2,M,0.0,345,117.8,1.0,0.0,0,51123.96,434
117,Benjamin Nelson,26-35,Single,1,0,9,M,-0.11,236,81.38,1.1,-35.62,2,26531.28,360
118,Jennifer Cooper,26-35,Single,1,0,7,F,-0.17,270,92.92,1.0,-71.24,2,38190.54,411
119,Kayla Wagner,46-55,Single,1,0,3,F,-0.31,467,116.58,1.12,-247.56,11,94200.17,901
120,Theresa Thomas,46-55,Single,1,0,2,F,-0.31,304,86.02,1.05,-118.73,2,32772.56,399
121,Belinda Freeman,26-35,Single,1,0,5,F,-0.73,165,71.17,1.0,-142.48,3,13949.05,196
122,Tracey Rodriguez,46-55,Married,3,1,10,F,0.0,372,99.81,1.0,0.0,0,44314.42,444
123,Blake Peterson,46-55,Married,2,0,4,M,-0.35,354,111.74,1.0,-276.06,13,87047.03,779
124,Brenda Solis,46-55,Married,2,0,6,F,-0.16,377,110.51,1.24,-106.86,3,71721.55,803
125,Kimberly Marsh,46-55,Married,2,0,6,F,0.0,282,111.55,1.02,0.0,0,35920.0,327
126,Richard Rodriguez,46-55,Married,2,0,6,M,0.0,530,88.91,1.07,0.0,0,80192.83,968
127,Kelly Cline,26-35,Married,2,0,5,F,-0.23,731,86.12,1.0,-292.27,14,107650.4,1256
128,Leah Lane,36-45,Married,3,1,1,F,-0.27,1341,91.44,1.0,-605.18,12,204098.83,2232
129,Jennifer Hammond,46-55,Married,2,0,6,F,0.0,132,100.65,1.0,0.0,0,15500.13,154
130,Charles Green,26-35,Single,3,2,3,M,0.0,323,108.74,1.0,0.0,0,47085.34,435
131,Brian Thompson,46-55,Married,2,0,5,M,-3.39,326,103.1,1.06,-2523.24,117,76813.06,786
132,Patricia Chapman,46-55,Married,3,1,3,F,-2.47,584,113.68,1.06,-2174.63,41,100261.74,933
133,Ashley Aguirre,36-45,Married,5,3,7,F,-0.16,467,94.33,1.0,-126.45,5,73389.73,778
134,Dawn Brown,70+,Married,2,0,4,F,0.0,242,84.81,1.0,0.0,0,44692.52,527
135,Ricardo Craig,36-45,Single,1,0,1,M,-0.16,614,97.87,1.01,-124.31,4,74673.18,770
136,Annette Johnson,56-70,Single,2,1,1,F,-0.08,341,95.68,1.0,-55.21,3,65442.52,684
137,George Williams,26-35,Single,1,0,5,M,-0.54,290,72.84,1.01,-231.53,8,31247.55,435
138,Stephen Dean,36-45,Single,1,0,5,M,-0.08,222,113.26,1.0,-32.06,2,44283.2,391
139,Denise Garcia,56-70,Married,2,0,9,F,-0.51,288,94.73,1.08,-206.6,9,38272.26,437
140,Tara Green,46-55,Married,2,0,2,F,-0.09,725,115.38,1.13,-106.86,1,140882.46,1383
141,John Case,56-70,Married,2,0,9,M,-0.03,897,120.18,1.01,-54.85,2,207434.32,1749
142,Jasmine Johnson,46-55,Married,2,0,4,F,-0.22,348,83.89,1.08,-135.36,3,50671.48,655
143,Eduardo Grant,70+,Single,1,0,2,M,-0.1,464,75.57,1.01,-64.12,4,50556.18,677
144,Edward Williams,36-45,Married,2,0,4,M,-0.04,646,84.44,1.03,-53.43,1,121842.62,1491
145,Michelle Thomas,46-55,Single,1,0,3,F,0.0,436,107.28,1.01,0.0,0,56751.89,534
146,Paul Henry,46-55,Married,2,0,6,M,0.0,210,90.93,1.03,0.0,0,29096.32,330
147,Michelle Salazar,36-45,Married,5,3,5,F,-0.04,227,52.98,1.0,-30.28,2,44129.64,835
148,Mercedes Spencer,46-55,Married,2,0,4,F,-0.44,392,114.01,1.05,-204.82,4,53128.23,487
149,Mark Martin,26-35,Single,1,0,3,M,-0.06,659,82.1,1.03,-65.3,3,90230.33,1132
150,Erin Bartlett,36-45,Married,2,0,4,F,-0.4,1493,91.72,1.04,-1094.17,36,248736.32,2817
151,Paul Schultz,36-45,Married,5,3,12,M,-0.06,991,118.91,1.05,-100.62,6,201314.36,1780
152,Pamela Walsh,36-45,Single,1,0,6,F,-0.81,310,98.47,1.0,-332.44,12,40175.1,408
153,Carol Hobbs,46-55,Single,1,0,5,F,-1.77,740,67.92,1.0,-2410.36,86,92716.3,1365
154,Debra Johnson,46-55,Married,5,3,6,F,-0.22,640,101.56,1.0,-224.4,7,101455.6,999
155,Kimberly Banks,70+,Married,2,0,5,F,-0.22,718,106.88,1.11,-242.2,11,117675.63,1218
156,Joseph Garcia,46-55,Married,3,1,7,M,0.0,158,91.26,1.11,0.0,0,16335.33,198
157,Jason Kirby,26-35,Single,1,0,4,M,0.0,147,88.17,1.0,0.0,0,18515.96,211
158,Bryan Henry,36-45,Married,4,2,8,M,-2.38,975,105.35,1.0,-3022.65,106,133902.58,1271
159,Tony Blake,36-45,Married,3,1,1,M,-3.83,268,103.94,1.01,-1674.14,14,45421.61,441
160,Scott Garrett,36-45,Married,2,0,9,M,-0.04,378,100.31,1.0,-17.81,1,47345.28,474
161,Nicole Lee,46-55,Single,1,0,1,F,-0.54,1235,76.96,1.0,-1537.74,60,219958.63,2872
162,Caleb Martin,26-35,Married,2,0,5,M,-0.99,702,117.55,1.01,-1990.73,64,236634.44,2040
163,Thomas Mayo,26-35,Single,3,2,3,M,-0.02,369,75.14,1.0,-11.58,1,46963.12,628
164,Madison Gonzalez,46-55,Married,2,0,5,F,-1.11,673,65.34,1.01,-1117.04,40,65997.64,1020
165,Melanie Baker,46-55,Single,1,0,8,F,-0.17,171,118.17,1.16,-35.62,1,25052.5,245
166,Dr. Michael Mitchell,46-55,Single,1,0,4,M,-0.16,718,95.06,1.0,-175.73,5,106559.85,1121
167,Michael Casey,46-55,Married,2,0,4,M,-0.17,543,93.11,1.0,-189.86,10,102239.32,1098
168,Evan Jones,46-55,Married,2,0,6,M,0.0,358,97.94,1.01,0.0,0,51615.54,534
169,Brandy Peters,36-45,Married,2,0,5,F,-0.04,351,89.93,1.0,-19.59,1,42445.21,473
170,Dana Cortez,36-45,Married,5,3,6,F,-0.08,301,105.52,1.02,-42.67,2,56031.17,542
171,Richard Moreno,70+,Married,2,0,4,M,0.0,85,119.71,1.0,0.0,0,14365.53,120
172,Michelle Cooper,26-35,Married,2,0,6,F,0.0,286,114.92,1.0,0.0,0,48497.74,422
173,Julie Hill,26-35,Married,2,0,4,F,-0.01,441,90.78,1.03,-5.34,1,93772.47,1068
174,Jennifer Alexander,36-45,Single,1,0,4,F,-0.02,582,96.18,1.05,-17.81,1,95407.08,1042
175,Courtney Flynn,70+,Married,2,0,1,F,0.0,316,118.55,1.0,0.0,0,48366.74,408
176,Michelle Frank,26-35,Married,2,0,4,F,-1.08,218,97.64,1.08,-333.06,25,30074.28,334
177,Maureen Armstrong,46-55,Married,2,0,5,F,0.0,208,112.8,1.06,0.0,0,31246.76,295
178,Ashley Hall,36-45,Single,1,0,5,F,-0.41,184,100.78,1.0,-114.87,5,28118.85,280
179,John Edwards,46-55,Single,1,0,4,M,-1.52,462,112.09,1.04,-1113.8,42,81939.43,757
180,Nicole Sanchez,26-35,Married,2,0,5,F,-0.43,545,121.35,1.0,-308.83,6,87006.78,717
181,Linda Rice,36-45,Single,1,0,2,F,-0.21,509,97.02,1.04,-167.4,7,76161.72,818
182,Bonnie Santiago,46-55,Single,1,0,2,F,0.0,115,134.07,1.0,0.0,0,19708.82,147
183,Dana Gutierrez,26-35,Married,4,2,2,F,-0.04,481,90.64,1.03,-26.71,1,57737.32,656
184,Joseph Gamble,26-35,Married,2,0,5,M,0.0,418,102.12,1.08,0.0,0,53814.79,571
185,Kirsten Stone,46-55,Single,1,0,7,F,0.0,518,90.91,1.13,0.0,0,80632.95,1003
186,Nicole Maxwell,26-35,Married,2,0,4,F,-0.01,652,78.5,1.0,-17.81,1,117276.26,1494
187,Karen Adams,36-45,Married,2,0,7,F,-0.04,329,80.29,1.0,-17.81,1,39663.35,494
188,Gary Bowman,70+,Married,2,0,6,M,-0.04,546,103.48,1.0,-35.62,1,83711.32,809
189,Antonio Blankenship,26-35,Married,4,2,5,M,-0.88,716,94.65,1.0,-1206.92,36,130053.59,1377
190,Todd Butler,46-55,Single,1,0,3,M,-0.22,323,93.98,1.0,-89.05,1,38251.42,407
191,Patricia Brown,56-70,Married,2,0,1,F,-0.04,750,104.54,1.0,-46.3,3,110083.82,1053
192,Danielle Casey,36-45,Married,4,2,4,F,-0.07,826,111.01,1.0,-90.84,4,153971.82,1387
193,Ronnie Campbell,46-55,Married,3,1,4,M,0.0,287,114.9,1.01,0.0,0,42284.87,371
194,Christian Sanchez,46-55,Single,1,0,3,M,-0.26,600,101.83,1.02,-235.98,8,91141.24,909
195,Dennis Frederick,26-35,Married,2,0,5,M,-0.06,1218,96.12,1.06,-118.73,2,176671.35,1945
196,Andrew Herrera,70+,Married,2,0,6,M,-0.84,335,114.27,1.06,-509.35,14,69247.58,642
197,Christina Lopez,18-25,Married,4,2,4,F,-2.03,547,79.81,1.05,-1971.96,76,77579.45,1020
198,George Lee,36-45,Single,1,0,3,M,0.0,215,90.61,1.02,0.0,0,57806.61,648
199,Christopher Frost,46-55,Married,3,1,5,M,0.0,240,126.82,1.04,0.0,0,41091.1,336
200,Vicki Hunt,70+,Single,1,0,4,F,-2.55,387,115.68,1.0,-1439.19,36,65241.99,564
201,Shelia Clark,46-55,Married,3,1,6,F,0.0,381,73.89,1.0,0.0,0,52685.48,713
202,Anita Gray,46-55,Married,2,0,6,F,-0.57,626,107.12,1.0,-626.07,39,117405.33,1096
203,Megan Black,36-45,Married,5,3,5,F,-0.42,169,98.43,1.01,-124.67,2,29529.22,304
204,Hunter Griffin,46-55,Single,4,3,4,M,-0.05,600,84.72,1.06,-41.85,2,75319.67,938
205,Kevin Hicks,46-55,Married,2,0,7,M,-1.72,533,113.79,1.0,-1667.11,85,110372.74,970
206,Laura Singh,36-45,Married,4,2,5,F,-0.06,465,106.15,1.01,-35.62,1,59869.59,567
207,Patrick Sanders,46-55,Single,1,0,5,M,-0.49,892,115.44,1.08,-740.88,28,175582.84,1636
208,Mr. Mike Johnson Jr.,46-55,Married,3,1,10,M,-0.08,1439,117.81,1.03,-231.53,6,333162.8,2902
209,Dylan Fernandez,26-35,Single,1,0,6,M,0.0,366,80.42,1.0,0.0,0,53964.24,671
210,Kathryn Mitchell,46-55,Married,2,0,6,F,-0.09,217,71.2,1.03,-50.76,3,38235.93,553
211,Zachary Cross,56-70,Married,2,0,10,M,-0.07,217,101.18,1.0,-19.59,1,28230.09,279
212,Elizabeth Ramirez MD,36-45,Married,5,3,8,F,-0.08,873,89.55,1.0,-80.14,2,94559.55,1056
213,Douglas Glass,36-45,Married,3,1,2,M,0.0,209,79.16,1.0,0.0,0,24776.17,313
214,Luis Ramirez,46-55,Married,2,0,1,M,-1.2,763,88.78,1.01,-1556.83,44,114787.63,1302
215,Michael Clark,36-45,Single,1,0,9,M,0.0,304,119.01,1.0,0.0,0,56648.83,476
216,Kristi Vargas,46-55,Single,1,0,5,F,-0.16,278,91.91,1.05,-71.24,2,40439.23,464
217,Michael Owens,46-55,Married,2,0,12,M,-0.68,115,82.65,1.03,-159.75,11,19340.91,241
218,Jeremy Carpenter,46-55,Married,3,1,5,M,0.0,246,76.88,1.0,0.0,0,27063.52,352
219,Allison Campbell,70+,Married,2,0,3,F,-0.34,377,74.13,1.0,-187.89,6,40623.74,548
220,Cynthia Santos,56-70,Single,1,0,5,F,-0.21,354,92.33,1.0,-84.78,3,37949.56,411
221,Shannon Hernandez,46-55,Single,1,0,6,F,-0.15,175,129.2,1.0,-32.94,2,28423.71,220
222,Alicia Smith,70+,Married,2,0,3,F,-0.18,801,85.59,1.0,-260.02,7,122143.72,1427
223,Joseph Adams,70+,Married,2,0,5,M,0.0,335,97.34,1.0,0.0,0,65316.78,671
224,Angie Johnson,46-55,Single,1,0,1,F,0.0,353,78.3,1.0,0.0,0,35391.44,452
225,Karen Bailey,46-55,Married,4,2,5,F,0.0,252,115.53,1.21,0.0,0,38704.17,404
226,Johnny Wood,46-55,Single,1,0,5,M,-0.29,587,137.29,1.01,-377.21,10,177518.67,1304
227,John Gibbs,46-55,Married,2,0,9,M,-0.09,454,109.94,1.0,-45.42,3,57937.84,527
228,Jessica Hammond,26-35,Married,5,3,4,F,-1.02,1104,101.42,1.0,-2032.05,86,201221.05,1984
229,Amber Allen,18-25,Single,2,1,5,F,-0.32,262,107.64,1.05,-160.29,3,54682.02,533
230,Melissa Crawford,36-45,Married,2,0,5,F,-0.13,1192,115.83,1.0,-276.76,6,253657.11,2190
231,Lynn Cannon DDS,46-55,Single,1,0,5,F,-0.27,1071,75.15,1.0,-578.46,13,161114.84,2144
232,Andrea Johnson,70+,Single,1,0,5,F,-0.15,364,98.55,1.02,-92.26,4,60707.49,628
233,Mrs. Heather Jenkins,36-45,Married,2,0,8,F,-0.19,426,110.73,1.01,-106.86,2,63560.95,577
234,Barbara Gibson,46-55,Married,3,1,10,F,-0.13,508,117.23,1.02,-114.57,4,100581.98,879
235,Jennifer Henry,56-70,Married,2,0,5,F,-3.16,764,113.55,1.0,-4619.7,210,166009.0,1462
236,Christopher Lamb,18-25,Married,2,0,4,M,-0.15,155,108.04,1.04,-35.62,1,25173.39,243
237,Traci Bradley,36-45,Single,2,1,4,F,0.0,188,89.13,1.01,0.0,0,18805.61,214
238,Carly Robinson,70+,Married,2,0,5,F,-0.16,504,85.62,1.1,-125.92,7,67214.24,862
239,Joshua Porter,36-45,Married,3,1,6,M,-0.13,1409,102.16,1.0,-401.6,13,319031.88,3123
240,Ronald Booth,46-55,Single,1,0,2,M,-0.48,615,146.5,1.02,-500.8,9,153385.98,1072
241,Eric Flores,26-35,Married,5,3,11,M,0.0,511,72.02,1.0,0.0,0,112776.33,1566
242,Philip Williams,46-55,Married,2,0,5,M,0.0,374,90.65,1.0,0.0,0,56748.56,626
243,Teresa Cruz,56-70,Married,2,0,5,F,-0.63,494,137.96,1.04,-550.91,23,121268.21,913
244,John Martinez,70+,Married,2,0,2,M,-0.11,666,95.88,1.0,-189.97,4,171623.86,1790
245,Stephen Christian,26-35,Single,2,1,4,M,-0.64,456,110.64,1.0,-365.09,7,63172.92,571
246,Robert Graham,46-55,Single,1,0,5,M,-0.39,420,100.46,1.03,-388.22,17,100059.2,1029
247,Bianca Cruz,36-45,Married,2,0,5,F,0.0,445,125.11,1.04,0.0,0,66308.11,550
248,Michael Jones,36-45,Single,1,0,3,M,-0.56,819,68.15,1.02,-858.08,39,104202.24,1555
249,Valerie Wolf,26-35,Single,1,0,5,F,-1.04,566,131.73,1.0,-843.89,28,107095.86,813
250,Elizabeth Fritz,36-45,Single,1,0,9,F,-0.77,1134,108.35,1.03,-1977.97,79,277043.37,2637
251,Alexis Sims,46-55,Single,1,0,3,F,-0.27,238,113.41,1.01,-89.05,1,38106.74,339
252,Deanna Knox,70+,Single,1,0,3,F,-0.19,209,121.79,1.0,-46.3,3,28986.97,238
